rank,name,sale_price,base_price,discount_rate,unit_price,rating,rating_count,rocket,benefit_text,product_url,image_url
35,"뉴트리디데이 프리미엄 멀티비타민 골드, 90정, 1개",11900,16500.0,27.0,(1정당 132원),5.0,28899,True,최대 595원 적립,https://www.coupang.com/vp/products/7311465993?itemId=18657860312&vendorItemId=4529156516&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/299750076081956-1535c14c-1ff1-4aed-a198-f5d72c2385d2.jpg
36,"센트룸 멀티 구미 비타민, 80정, 1개",23400,,,(1정당 293원),5.0,40658,True,"최대 1,170원 적립",https://www.coupang.com/vp/products/6444223952?itemId=25192825585&vendorItemId=75189722199&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4186742789471934-b70dbafe-7283-4661-8a80-007f82ba48d3.jpg
37,"뉴트리디데이 프리미엄 루테인 골드, 90정, 1개",11900,16500.0,27.0,(1정당 132원),5.0,38091,True,최대 595원 적립,https://www.coupang.com/vp/products/7497623760?itemId=20460060171&vendorItemId=4556332568&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/392466012352664-4a918117-cf09-4d11-a6fc-88c2502d074e.jpg
38,"정원삼 6년근 고려홍삼정 365 스틱 선물세트 + 쇼핑백, 300g, 1개",27800,39000.0,28.0,(10g당 927원),5.0,71151,True,"최대 1,320원 적립",https://www.coupang.com/vp/products/7481220910?itemId=20272768213&vendorItemId=3028894630&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/120a/97c7e3ae5b6d0d8b16508e15695b48a02386b8575afbad89c954b45a7311.jpg
39,"동화약품 코엔자임 Q10 코큐텐 맥스 혈압 항산화 케어 관리 조절, 60정, 1개",14600,30000.0,51.0,(1정당 243원),5.0,2865,True,최대 730원 적립,https://www.coupang.com/vp/products/7835316582?itemId=21316830383&vendorItemId=88635143576&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1846990611572953-dc01ac65-b165-4ba7-bcb3-570a9a965478.jpg
40,"락토핏 생유산균 베베 60포, 60회분, 120g, 1개",14900,16910.0,11.0,(1정당 248원),5.0,34412,True,최대 745원 적립,https://www.coupang.com/vp/products/5814969994?itemId=17095320082&vendorItemId=84269176425&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/d668/4236355a4200b760fa49e28fbbd55b5745ce546fcae4096f64066bcbabbc.jpg
41,"내츄럴플러스 프로폴리스 1000, 180정, 1개",21750,24900.0,12.0,(1정당 121원),5.0,20495,True,"최대 1,088원 적립",https://www.coupang.com/vp/products/20894936?itemId=81578249&vendorItemId=92000349279&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/39864946725847-3138c132-6aa4-4590-8bd7-59251b673f91.jpg
42,"나우그린 프리미엄 비피더스 100, 30정, 1개",19900,23800.0,16.0,(1정당 663원),5.0,1369,True,최대 995원 적립,https://www.coupang.com/vp/products/8279510233?itemId=23869002865&vendorItemId=90892086477&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2024/08/09/17/8/807fd414-812b-4504-b650-1e289fbe8db7.jpg
43,"닥터라인 헤모키즈 맛있는 딸기맛 유아철분제, 120ml, 1개",28950,30800.0,6.0,"(10ml당 2,413원)",5.0,10713,True,"최대 1,448원 적립",https://www.coupang.com/vp/products/1173057697?itemId=2151301050&vendorItemId=70696995063&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/1025_amir_coupang_oct_80k/1d00/137784db0789d1542537d7c1612b94d13194bcbc44ed148836a099a915c1.jpg
44,"얼라이브 원스데일리 포 우먼 멀티비타민, 80정, 1개",28980,46600.0,37.0,(1정당 362원),5.0,39344,True,"최대 1,449원 적립",https://www.coupang.com/vp/products/3961975?itemId=25360799775&vendorItemId=81351466902&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1765984110532532-9bdeea6b-792e-4eb3-86b5-735497586065.jpg
